Question,True Answer,answers,MCQs,3_MC,2_MC
"皮肤炎症初期局部组织发红、温度升高,是由于?","动脉流入组织的血量增多,代谢增强","['动脉流入组织的血量增多', '静脉流出的血量减少', '静脉流出的血量减少,代谢增强']","请选择一个正确选项。皮肤炎症初期局部组织发红、温度升高,是由于?：A 动脉流入组织的血量增多 ，B 静脉流出的血量减少 ，C 动脉流入组织的血量增多,代谢增强，D 静脉流出的血量减少,代谢增强。只能选择一个选项，禁止解释。","请选择一个正确选项。皮肤炎症初期局部组织发红、温度升高,是由于?：A 动脉流入组织的血量增多 ，B  静脉流出的血量减少 ，C 动脉流入组织的血量增多,代谢增强。只能选择一个选项，禁止解释。","请选择一个正确选项。皮肤炎症初期局部组织发红、温度升高,是由于?：A 动脉流入组织的血量增多 ，B 动脉流入组织的血量增多,代谢增强。只能选择一个选项，禁止解释。"
体表炎症初期局部热敷的目的是?,增加动脉血流入,"['减少静脉血流出', '减少动脉血流入', '增加静脉血流出']",请选择一个正确选项。体表炎症初期局部热敷的目的是?：A 增加动脉血流入 ，B 减少静脉血流出 ，C 减少动脉血流入，D 增加静脉血流出。只能选择一个选项，禁止解释。,请选择一个正确选项。体表炎症初期局部热敷的目的是?：A 减少静脉血流出 ，B  减少动脉血流入 ，C 增加动脉血流入。只能选择一个选项，禁止解释。,请选择一个正确选项。体表炎症初期局部热敷的目的是?：A 减少静脉血流出 ，B 增加动脉血流入。只能选择一个选项，禁止解释。
下列不易引起栓塞的是?,风湿性心瓣膜炎,"['感染性心瓣膜炎', '长骨骨折', '异常分娩']",请选择一个正确选项。下列不易引起栓塞的是?：A 感染性心瓣膜炎 ，B 风湿性心瓣膜炎 ，C 长骨骨折，D 异常分娩。只能选择一个选项，禁止解释。,请选择一个正确选项。下列不易引起栓塞的是?：A 感染性心瓣膜炎 ，B  长骨骨折 ，C 风湿性心瓣膜炎。只能选择一个选项，禁止解释。,请选择一个正确选项。下列不易引起栓塞的是?：A 感染性心瓣膜炎 ，B 风湿性心瓣膜炎。只能选择一个选项，禁止解释。
“蚤咬肾”之出血点是由于什么病变引起?,肾小球毛细血管破裂,"['肾小球毛细血管血栓形成,组织坏死', '肾小球毛细血管栓塞,组织坏死', '肾小球毛细血管壁通透性增加']","请选择一个正确选项。“蚤咬肾”之出血点是由于什么病变引起?：A 肾小球毛细血管血栓形成,组织坏死 ，B 肾小球毛细血管栓塞,组织坏死 ，C 肾小球毛细血管壁通透性增加，D 肾小球毛细血管破裂。只能选择一个选项，禁止解释。",请选择一个正确选项。“蚤咬肾”之出血点是由于什么病变引起?：A 肾小球毛细血管血栓形成 ，B 组织坏死 ，C 肾小球毛细血管破裂。只能选择一个选项，禁止解释。,请选择一个正确选项。“蚤咬肾”之出血点是由于什么病变引起?：A 肾小球毛细血管血栓形成 ，B 肾小球毛细血管破裂。只能选择一个选项，禁止解释。
原核生物的mRNA转录终止需要下列哪种因子?,σ因子,"['释放因子', 'Rho因子', '信号肽']",请选择一个正确选项。原核生物的mRNA转录终止需要下列哪种因子?：A 释放因子 ，B Rho因子 ，C 信号肽，D σ因子。只能选择一个选项，禁止解释。,请选择一个正确选项。原核生物的mRNA转录终止需要下列哪种因子?：A 释放因子 ，B  Rho因子 ，C σ因子。只能选择一个选项，禁止解释。,请选择一个正确选项。原核生物的mRNA转录终止需要下列哪种因子?：A 释放因子 ，B σ因子。只能选择一个选项，禁止解释。
下列RNA中，参与形成小分子核糖核蛋白体的是？,snRNA,"['hnRNA', 'mRNA', 'tRNA']",请选择一个正确选项。下列RNA中，参与形成小分子核糖核蛋白体的是？：A hnRNA ，B mRNA ，C snRNA，D tRNA。只能选择一个选项，禁止解释。,请选择一个正确选项。下列RNA中，参与形成小分子核糖核蛋白体的是？：A hnRNA ，B  mRNA ，C snRNA。只能选择一个选项，禁止解释。,请选择一个正确选项。下列RNA中，参与形成小分子核糖核蛋白体的是？：A hnRNA ，B snRNA。只能选择一个选项，禁止解释。
氯霉素的抗菌作用是由于抑制了细菌的?,核蛋白体上的转肽酶,"['细胞色素氧化酶', '嘌呤核苷酸代谢', '二氢叶酸还原酶']",请选择一个正确选项。氯霉素的抗菌作用是由于抑制了细菌的?：A 细胞色素氧化酶 ，B 嘌呤核苷酸代谢 ，C 二氢叶酸还原酶，D 核蛋白体上的转肽酶。只能选择一个选项，禁止解释。,请选择一个正确选项。氯霉素的抗菌作用是由于抑制了细菌的?：A 细胞色素氧化酶 ，B  嘌呤核苷酸代谢 ，C 核蛋白体上的转肽酶。只能选择一个选项，禁止解释。,请选择一个正确选项。氯霉素的抗菌作用是由于抑制了细菌的?：A 细胞色素氧化酶 ，B 核蛋白体上的转肽酶。只能选择一个选项，禁止解释。
"能出现在蛋白质分子中的下列氨基酸,哪一种没有遗传密码?",羟脯氨酸,"['色氨酸', '蛋氨酸', '谷氨酰胺']","请选择一个正确选项。能出现在蛋白质分子中的下列氨基酸,哪一种没有遗传密码?：A 色氨酸 ，B 蛋氨酸 ，C 谷氨酰胺，D 羟脯氨酸。只能选择一个选项，禁止解释。","请选择一个正确选项。能出现在蛋白质分子中的下列氨基酸,哪一种没有遗传密码?：A 色氨酸 ，B  蛋氨酸 ，C 羟脯氨酸。只能选择一个选项，禁止解释。","请选择一个正确选项。能出现在蛋白质分子中的下列氨基酸,哪一种没有遗传密码?：A 色氨酸 ，B 羟脯氨酸。只能选择一个选项，禁止解释。"
"下列关于氨基酸密码的描述,哪一项是错误的?","密码有种属特异性,所以不同生物合成不同的蛋白质","['密码阅读有方向性,5’端起始,3’端终止', '一种氨基酸可有一种以上的密码', '一组密码只代表一种氨基酸']","请选择一个正确选项。下列关于氨基酸密码的描述,哪一项是错误的?：A 密码有种属特异性,所以不同生物合成不同的蛋白质 ，B 密码阅读有方向性,5’端起始,3’端终止 ，C 一种氨基酸可有一种以上的密码，D 一组密码只代表一种氨基酸。只能选择一个选项，禁止解释。","请选择一个正确选项。下列关于氨基酸密码的描述,哪一项是错误的?：A 密码阅读有方向性 ，B 5’端起始 ，C 密码有种属特异性,所以不同生物合成不同的蛋白质。只能选择一个选项，禁止解释。","请选择一个正确选项。下列关于氨基酸密码的描述,哪一项是错误的?：A 密码阅读有方向性 ，B 密码有种属特异性,所以不同生物合成不同的蛋白质。只能选择一个选项，禁止解释。"
下列关于生物变异与生物进化的说法，错误的是?,利用农杆菌介导将目的基因导入受体细胞并表达，依据的遗传学原理是染色体变异,"['基因中碱基对的增添、缺失或替换都可能导致其合成的肤链长度改变', '新物种的形成意味着生物能以新的方式利用环境条件，为生物的发展开辟新前景', '美国生态学家斯坦利的“收割理论”认为捕食者的存在有利于增加物种多样性']",请选择一个正确选项。下列关于生物变异与生物进化的说法，错误的是?：A 基因中碱基对的增添、缺失或替换都可能导致其合成的肤链长度改变 ，B 利用农杆菌介导将目的基因导入受体细胞并表达，依据的遗传学原理是染色体变异 ，C 新物种的形成意味着生物能以新的方式利用环境条件，为生物的发展开辟新前景，D 美国生态学家斯坦利的“收割理论”认为捕食者的存在有利于增加物种多样性。只能选择一个选项，禁止解释。,请选择一个正确选项。下列关于生物变异与生物进化的说法，错误的是?：A 基因中碱基对的增添、缺失或替换都可能导致其合成的肤链长度改变 ，B  新物种的形成意味着生物能以新的方式利用环境条件，为生物的发展开辟新前景 ，C 利用农杆菌介导将目的基因导入受体细胞并表达，依据的遗传学原理是染色体变异。只能选择一个选项，禁止解释。,请选择一个正确选项。下列关于生物变异与生物进化的说法，错误的是?：A 基因中碱基对的增添、缺失或替换都可能导致其合成的肤链长度改变 ，B 利用农杆菌介导将目的基因导入受体细胞并表达，依据的遗传学原理是染色体变异。只能选择一个选项，禁止解释。
某遗传病是由X染色体上隐性基因（m）控制的单基因遗传病，在人群中的发病率极低（不考虑变异）。下列关于该遗传病的叙述，正确的是?,人群中M的基因频率大于m的基因频率,"['禁止近亲结婚和进行遗传咨询能杜绝该种遗传病的发生', '某男性患有该遗传病，则其父肯定不携带该病的致病基因', '理论上，人群中m的基因频率与男性群体中患该病的概率不同']",请选择一个正确选项。某遗传病是由X染色体上隐性基因（m）控制的单基因遗传病，在人群中的发病率极低（不考虑变异）。下列关于该遗传病的叙述，正确的是?：A 禁止近亲结婚和进行遗传咨询能杜绝该种遗传病的发生 ，B 某男性患有该遗传病，则其父肯定不携带该病的致病基因 ，C 理论上，人群中m的基因频率与男性群体中患该病的概率不同，D 人群中M的基因频率大于m的基因频率。只能选择一个选项，禁止解释。,请选择一个正确选项。某遗传病是由X染色体上隐性基因（m）控制的单基因遗传病，在人群中的发病率极低（不考虑变异）。下列关于该遗传病的叙述，正确的是?：A 禁止近亲结婚和进行遗传咨询能杜绝该种遗传病的发生 ，B  某男性患有该遗传病，则其父肯定不携带该病的致病基因 ，C 人群中M的基因频率大于m的基因频率。只能选择一个选项，禁止解释。,请选择一个正确选项。某遗传病是由X染色体上隐性基因（m）控制的单基因遗传病，在人群中的发病率极低（不考虑变异）。下列关于该遗传病的叙述，正确的是?：A 禁止近亲结婚和进行遗传咨询能杜绝该种遗传病的发生 ，B 人群中M的基因频率大于m的基因频率。只能选择一个选项，禁止解释。
在注射青霉素类药物前要做皮试。某人注射青霉素后出现面色苍白、心率加快、血压下降、脉搏细弱、血糖降低等临床症状，请推测出现该症状的主要原因是?,青霉素属于过敏原，引起患者发生过敏反应,"['青霉素是一种神经递质，注射后会导致患者心率加快', '青霉素破坏患者的胰岛A细胞，注射后导致患者血糖降低', '青霉素能引起机体免疫功能减弱，注射后导致患者血压下降']",请选择一个正确选项。在注射青霉素类药物前要做皮试。某人注射青霉素后出现面色苍白、心率加快、血压下降、脉搏细弱、血糖降低等临床症状，请推测出现该症状的主要原因是?：A 青霉素属于过敏原，引起患者发生过敏反应 ，B 青霉素是一种神经递质，注射后会导致患者心率加快 ，C 青霉素破坏患者的胰岛A细胞，注射后导致患者血糖降低，D 青霉素能引起机体免疫功能减弱，注射后导致患者血压下降。只能选择一个选项，禁止解释。,请选择一个正确选项。在注射青霉素类药物前要做皮试。某人注射青霉素后出现面色苍白、心率加快、血压下降、脉搏细弱、血糖降低等临床症状，请推测出现该症状的主要原因是?：A 青霉素是一种神经递质，注射后会导致患者心率加快 ，B  青霉素破坏患者的胰岛A细胞，注射后导致患者血糖降低 ，C 青霉素属于过敏原，引起患者发生过敏反应。只能选择一个选项，禁止解释。,请选择一个正确选项。在注射青霉素类药物前要做皮试。某人注射青霉素后出现面色苍白、心率加快、血压下降、脉搏细弱、血糖降低等临床症状，请推测出现该症状的主要原因是?：A 青霉素是一种神经递质，注射后会导致患者心率加快 ，B 青霉素属于过敏原，引起患者发生过敏反应。只能选择一个选项，禁止解释。
TATA框是多数真核生物基因的一段DNA序列，位于基因转录起始点上游，其碱基序列为TATAATAAT，在转录mRNA前，先由转录因子TFII-D蛋白和TATA框结合，形成稳定的复合物，然后由RNA聚合酶依据模板链进行转录。相关叙述正确的是?,若在TATA框中发生某碱基对的替换时，就会引起基因突变,"['TATA框中共含有2种核糖核苷酸和8个氢键', 'TATA框经RNA聚合酶催化转录形成的片段中含有起始密码子', '转录开始时，TFII-D蛋白首先与TATA框结合打开碱基对之间的氢键']",请选择一个正确选项。TATA框是多数真核生物基因的一段DNA序列，位于基因转录起始点上游，其碱基序列为TATAATAAT，在转录mRNA前，先由转录因子TFII-D蛋白和TATA框结合，形成稳定的复合物，然后由RNA聚合酶依据模板链进行转录。相关叙述正确的是?：A TATA框中共含有2种核糖核苷酸和8个氢键 ，B 若在TATA框中发生某碱基对的替换时，就会引起基因突变 ，C TATA框经RNA聚合酶催化转录形成的片段中含有起始密码子，D 转录开始时，TFII-D蛋白首先与TATA框结合打开碱基对之间的氢键。只能选择一个选项，禁止解释。,请选择一个正确选项。TATA框是多数真核生物基因的一段DNA序列，位于基因转录起始点上游，其碱基序列为TATAATAAT，在转录mRNA前，先由转录因子TFII-D蛋白和TATA框结合，形成稳定的复合物，然后由RNA聚合酶依据模板链进行转录。相关叙述正确的是?：A TATA框中共含有2种核糖核苷酸和8个氢键 ，B  TATA框经RNA聚合酶催化转录形成的片段中含有起始密码子 ，C 若在TATA框中发生某碱基对的替换时，就会引起基因突变。只能选择一个选项，禁止解释。,请选择一个正确选项。TATA框是多数真核生物基因的一段DNA序列，位于基因转录起始点上游，其碱基序列为TATAATAAT，在转录mRNA前，先由转录因子TFII-D蛋白和TATA框结合，形成稳定的复合物，然后由RNA聚合酶依据模板链进行转录。相关叙述正确的是?：A TATA框中共含有2种核糖核苷酸和8个氢键 ，B 若在TATA框中发生某碱基对的替换时，就会引起基因突变。只能选择一个选项，禁止解释。
